id,od,le,lc,turn,fluid,fr,orientation,heatw,rth,type
2,4,15,40,8,1,70,60,0.111111111,2.09457899,Tabular
2,4,15,40,8,1,70,60,0.112345679,1.437565637,Tabular
2,4,15,40,8,1,70,60,0.112359396,1.198448347,Tabular
2,4,15,40,8,1,70,60,0.112359549,1.146975118,Tabular
2,4,15,40,8,1,70,60,0.112359551,0.976088726,Tabular
2,4,15,40,8,1,70,60,0.112359551,0.8691688,Tabular
2,4,15,40,8,1,70,60,0.112359551,0.804902277,Tabular
2,4,15,40,8,1,70,60,0.112359551,0.753438141,Tabular
2,4,15,40,8,1,70,60,0.112359551,0.753128992,Tabular
2.3,3.3,40,60,5,1,50,0,0.277777778,0.713735828,Tabular
2.3,3.3,40,60,5,1,50,0,0.388888889,0.650170832,Tabular
2.3,3.3,40,60,5,1,50,0,0.5,0.670744393,Tabular
2.3,3.3,40,60,5,1,50,0,0.666666667,0.660919249,Tabular
2.3,3.3,40,60,5,1,50,0,0.833333333,0.673163235,Tabular
2.3,3.3,40,60,5,1,50,0,1,0.73229965,Tabular
2,3,52,60,5,2,40,0,0.256368222,1.1,Tabular
2,3,52,60,5,2,40,0,0.309836066,1.02,Tabular
2,3,52,60,5,2,40,0,0.363177806,0.94,Tabular
2,3,52,60,5,2,40,0,0.416519546,0.86,Tabular
2,3,52,60,5,2,40,0,0.46998739,0.77,Tabular
2,3,52,60,5,2,40,0,0.52332913,0.71,Tabular
2,3,52,60,5,2,40,0,0.57667087,0.66,Tabular
2,3,52,60,5,2,40,0,0.630138714,0.61,Tabular
2,3,52,60,5,2,40,0,0.683480454,0.56,Tabular
2,3,52,60,5,2,40,0,0.736822194,0.5,Tabular
2,3,52,60,5,2,40,0,0.790290038,0.48,Tabular
2,3,52,60,5,2,40,0,0.843631778,0.47,Tabular
2,3,52,60,5,2,40,0,0.896973518,0.46,Tabular
2,3,52,60,5,2,40,0,0.950441362,0.44,Tabular
2,3,52,60,5,2,40,0,1,0.43,Tabular
2,3.6,52,60,5,1,50,0,0.270856856,1.36,Tabular
2,3.6,52,60,5,1,50,0,0.328189688,1.22,Tabular
2,3.6,52,60,5,1,50,0,0.385522519,1.09,Tabular
2,3.6,52,60,5,1,50,0,0.442729896,0.96,Tabular
2,3.6,52,60,5,1,50,0,0.496299084,0.84,Tabular
2,3.6,52,60,5,1,50,0,0.557395559,0.73,Tabular
2,3.6,52,60,5,1,50,0,0.61472839,0.64,Tabular
2,3.6,52,60,5,1,50,0,0.671935767,0.55,Tabular
2,3.6,52,60,5,1,50,0,0.729268599,0.46,Tabular
2,3.6,52,60,5,1,50,0,0.78660143,0.41,Tabular
2,3.6,52,60,5,1,50,0,0.843808807,0.39,Tabular
2,3.6,52,60,5,1,50,0,0.901141638,0.36,Tabular
2,3.6,52,60,5,1,50,0,1,0.33,Tabular
2,3.6,50,50,10,1,50,40,0.098436247,2.11,Tabular
2,3.6,50,50,10,1,50,40,0.199478749,1.12,Tabular
2,3.6,50,50,10,1,50,40,0.298917402,0.75,Tabular
2,3.6,50,50,10,1,50,40,0.39935846,0.53,Tabular
2,3.6,50,50,10,1,50,40,0.497995188,0.45,Tabular
2,3.6,50,50,10,1,50,40,0.598035285,0.38,Tabular
2,3.6,50,50,10,1,50,40,0.699077787,0.28,Tabular
2,3.6,50,50,10,1,50,40,0.800120289,0.29,Tabular
2,3.6,50,50,10,1,50,40,0.900160385,0.29,Tabular
2,3.6,50,50,10,1,50,40,1,0.25,Tabular
2,3.6,50,50,10,1,50,20,0.099198397,1.84,Tabular
2,3.6,50,50,10,1,50,20,0.199398798,1.24,Tabular
2,3.6,50,50,10,1,50,20,0.299398798,0.82,Tabular
2,3.6,50,50,10,1,50,20,0.399398798,0.61,Tabular
2,3.6,50,50,10,1,50,20,0.497795591,0.54,Tabular
2,3.6,50,50,10,1,50,20,0.597795591,0.46,Tabular
2,3.6,50,50,10,1,50,20,0.697995992,0.34,Tabular
2,3.6,50,50,10,1,50,20,0.799799599,0.33,Tabular
2,3.6,50,50,10,1,50,20,0.899799599,0.32,Tabular
2,3.6,50,50,10,1,50,20,1,0.29,Tabular
2,3,70,70,5,1,50,0,0.200841009,2.25,Tabular
2,3,70,70,5,1,50,0,0.400881057,2.17,Tabular
2,3,70,70,5,1,50,0,0.599919904,1.93,Tabular
2,3,70,70,5,1,50,0,0.799959952,1.06,Tabular
2,3,70,70,5,1,50,0,1,0.87,Tabular
2,3,50,70,5,2,60,90,0.666111296,1.21,Tabular
2,3,50,70,5,2,60,90,0.777407531,0.99,Tabular
2,3,50,70,5,2,60,90,0.889259136,0.79,Tabular
2,3,50,70,5,2,60,90,1,0.65,Tabular
2,3,50,70,5,2,60,90,0.666111296,1.29,Tabular
2,3,50,70,5,2,60,90,0.777962901,1.02,Tabular
2,3,50,70,5,2,60,90,0.889259136,0.84,Tabular
2,3,50,70,5,2,60,90,1,0.69,Tabular
2,3,50,70,5,2,60,90,0.666111296,1.18,Tabular
2,3,50,70,5,2,60,90,0.777962901,1,Tabular
2,3,50,70,5,2,60,90,0.888703765,0.84,Tabular
2,3,50,70,5,2,60,90,1,0.73,Tabular
2,3.6,50,50,10,1,50,60,0.097194389,1.41,Tabular
2,3.6,50,50,10,1,50,60,0.195591182,1.09,Tabular
2,3.6,50,50,10,1,50,60,0.296793587,0.89,Tabular
2,3.6,50,50,10,1,50,60,0.398997996,0.69,Tabular
2,3.6,50,50,10,1,50,60,0.49739479,0.6,Tabular
2,3.6,50,50,10,1,50,60,0.598597194,0.57,Tabular
2,3.6,50,50,10,1,50,60,0.697795591,0.53,Tabular
2,3.6,50,50,10,1,50,60,0.799198397,0.55,Tabular
2,3.6,50,50,10,1,50,60,0.898997996,0.51,Tabular
2,3.6,50,50,10,1,50,60,1,0.52,Tabular
2,3.6,50,50,10,1,50,20,0.107294223,1.2,Tabular
2,3.6,50,50,10,1,50,20,0.217488289,1.13,Tabular
2,3.6,50,50,10,1,50,20,0.330359135,0.95,Tabular
2,3.6,50,50,10,1,50,20,0.553647111,0.54,Tabular
2,3.6,50,50,10,1,50,20,0.664956502,0.58,Tabular
2,3.6,50,50,10,1,50,20,0.776712023,0.56,Tabular
2,3.6,50,50,10,1,50,20,1,0.66,Tabular
2,2.5,42,52,20,3,50,0,0.202478063,0.807,Tabular
2,2.5,42,52,20,3,50,0,0.400384458,0.641,Tabular
2,2.5,42,52,20,3,50,0,0.601239031,0.409,Tabular
2,2.5,42,52,20,3,50,0,0.710530772,0.339,Tabular
2,2.5,42,52,20,3,50,0,0.745978626,0.326,Tabular
2,2.5,42,52,20,3,50,0,0.800619516,0.303,Tabular
2,2.5,42,52,20,3,50,0,0.902520891,0.254,Tabular
2,2.5,42,52,20,3,50,0,1,0.195,Tabular
1,1.2,42,52,40,3,50,0,0.195309473,0.597,Tabular
1,1.2,42,52,40,3,50,0,0.398446424,0.413,Tabular
1,1.2,42,52,40,3,50,0,0.601017175,0.3,Tabular
1,1.2,42,52,40,3,50,0,0.803299858,0.226,Tabular
1,1.2,42,52,40,3,50,0,1,0.211,Tabular
1,1.2,42,52,40,3,50,45,0.201820819,0.826,Tabular
